hashtag,tweet_count,avg_interaction,avg_views
#trendforce,96,31.36,7235.92
#samsung,68,30.75,7255.43
#tsmc,49,24.31,
#skhynix,44,41.3,9725.09
#intel,32,51.06,15587.09
#nvidia,30,33.07,13617.63
#micron,30,47.17,9554.9
#apple,24,13.96,
#ai,22,22.86,
#china,18,12.39,
#datatrack,16,5.19,
#dram,14,53.36,10998.79
#hbm,14,39.86,9331.21
#nand,13,39.15,7381.31
#asml,11,20.18,
#amd,7,84.0,50820.0
#sandisk,8,73.12,16484.88
#kioxia,10,55.3,12340.1
#ddr5,5,34.4,5077.6
#cpo,8,30.0,5355.25
#google,6,30.0,4855.0
