,QQ_Timmy,jukan05,TrendForce,dylan522p,SemiAnalysis_,technews_tw,combined
OVERVIEW
Tweet count,553,873,609,597,885,1793,5310
Avg interaction,72.27,598.4,34.94,602.24,298.21,4.81,228.95
Median interaction,62,419,24,292,123,3,34
Max interaction,493,10806,488,26372,14700,174,26372

BEST HOURS TO POST (Taiwan Time)
Hour,QQ_Timmy avg interaction,QQ_Timmy chart,jukan05 avg interaction,jukan05 chart,TrendForce avg interaction,TrendForce chart,dylan522p avg interaction,dylan522p chart,SemiAnalysis_ avg interaction,SemiAnalysis_ chart,technews_tw avg interaction,technews_tw chart,combined avg interaction,combined chart
00:00,76.15,███████████████,506.5,█████████,33.09,██████████,381.25,██████,383.05,█████████,7.33,█████████████,148.12,████
01:00,65.49,█████████████,363.0,██████,20.38,██████,624.47,██████████,317.92,███████,0,,302.13,████████
02:00,37.0,███████,1047.0,████████████████████,2.0,,612.54,██████████,813.73,████████████████████,0,,671.81,████████████████████
03:00,0,,0,,0,,486.39,████████,298.33,███████,0,,400.91,███████████
04:00,0,,385.33,███████,0.0,,459.42,███████,351.18,████████,0,,397.99,███████████
05:00,0,,521.8,█████████,0,,453.27,███████,264.07,██████,0,,314.14,█████████
06:00,0,,480.04,█████████,0,,767.96,█████████████,319.02,███████,0,,525.5,███████████████
07:00,83.5,████████████████,632.79,████████████,10.0,███,1000.6,█████████████████,440.12,██████████,8.3,███████████████,563.8,████████████████
08:00,59.46,███████████,616.23,███████████,45.6,██████████████,431.69,███████,238.67,█████,10.8,████████████████████,248.82,███████
09:00,73.13,██████████████,601.63,███████████,36.55,███████████,716.69,████████████,222.47,█████,3.8,███████,253.96,███████
10:00,81.03,████████████████,742.32,██████████████,45.31,██████████████,666.42,███████████,360.0,████████,6.22,███████████,275.57,████████
11:00,100.08,████████████████████,620.05,███████████,39.07,████████████,525.57,█████████,380.27,█████████,6.95,████████████,227.75,██████
12:00,66.29,█████████████,420.71,████████,46.24,███████████████,1166.18,████████████████████,387.31,█████████,5.08,█████████,249.04,███████
13:00,94.57,██████████████████,663.28,████████████,52.96,█████████████████,441.61,███████,210.25,█████,3.59,██████,207.77,██████
14:00,63.42,████████████,443.38,████████,42.88,█████████████,455.69,███████,762.0,██████████████████,4.98,█████████,117.26,███
15:00,77.67,███████████████,600.74,███████████,46.47,███████████████,431.69,███████,223.0,█████,3.84,███████,170.43,█████
16:00,74.0,██████████████,654.18,████████████,61.56,████████████████████,273.14,████,0,,5.21,█████████,167.57,████
17:00,65.25,█████████████,457.61,████████,49.53,████████████████,323.12,█████,279.67,██████,3.74,██████,100.02,██
18:00,62.9,████████████,678.44,████████████,36.33,███████████,510.29,████████,431.0,██████████,3.4,██████,172.85,█████
19:00,69.59,█████████████,596.8,███████████,9.09,██,226.86,███,395.67,█████████,3.94,███████,111.08,███
20:00,76.06,███████████████,725.04,█████████████,19.31,██████,369.5,██████,382.67,█████████,3.78,███████,105.76,███
21:00,72.73,██████████████,529.58,██████████,27.56,████████,192.88,███,136.39,███,3.98,███████,127.18,███
22:00,80.41,████████████████,786.85,███████████████,47.37,███████████████,514.0,████████,130.84,███,2.98,█████,136.26,████
23:00,71.09,██████████████,774.9,██████████████,34.71,███████████,677.12,███████████,221.4,█████,6.39,███████████,253.25,███████

BEST DAYS TO POST
