hashtag,tweet_count,avg_interaction,avg_views
#ai,76,3.12,
#台積電,48,6.46,371.98
#spacex,38,1.92,
#蘋果,36,2.97,
#輝達,31,3.45,
#anthropic,23,1.7,
#openai,23,1.65,
#英特爾,21,5.33,350.57
#google,16,3.69,
#川普,15,2.2,
#三星,15,3.27,
#黃仁勳,14,2.86,
#半導體,13,7.46,498.92
#馬斯克,13,1.85,
#sk海力士,13,2.69,
#mlcc,5,12.4,765.0
#台達電,5,9.6,602.0
#供應鏈,8,7.62,603.5
#cpo,10,5.5,333.2
#聯電,5,5.0,378.6
#晶圓代工,5,5.0,293.0
#ai基礎設施,7,4.86,259.86
#nand,5,4.8,320.4
#台股,9,4.67,300.67
#記憶體,12,4.5,352.08
#ai伺服器,7,4.29,290.57
#trendforce,7,4.29,300.29
