timestamp,handle,displayName,followers,knownAccount,accountType,country,sentiment,sentimentScore,creditFlag,cited,textSimilarity,imageMatch,ocrFoundTF,likes,retweets,replies,tweetUrl,text
2026-07-13T23:08:52.000+08:00,"@casualstudy023","Casual Study 随意研究","191",no,"unknown","Unknown",neutral,0,"no_tf_content",no,0,no,no,,,,"https://x.com/casualstudy023/status/2076685297241473285",""
2026-07-13T23:08:42.000+08:00,"@casualstudy023","Casual Study 随意研究","191",no,"unknown","Unknown",neutral,0,"no_tf_content",no,0,no,no,,,,"https://x.com/casualstudy023/status/2076685257081020494",""
2026-07-13T23:05:20.000+08:00,"@golden_chou","0x66bb(蓝V互关 | Follow Back）","28",no,"unknown","Unknown",neutral,0,"no_tf_content",no,0,no,no,,,,"https://x.com/golden_chou/status/2076684409068294458",""
2026-07-13T20:29:32.000+08:00,"@MungerMindLab","Munger Mind Lab","unknown",no,"unknown","Unknown",neutral,0,"no_tf_content",no,0.5,no,no,,,,"https://x.com/MungerMindLab/status/2076645201314283535","逆向思考，多从历史周期中总结规律，学会过滤与祛魅专家机构抛出的干扰性噪音。  “基本面仍强”不等于股价不会再跌。 “股价大跌”也不等于存储价格和利润已经见顶。 更合理的定位是： 行业处在盈利周期强势阶段，但股票已经进入估值周期和预期周期的拐点观察期。  存储股7月大跌，超级周期结束了吗？"
2026-07-13T20:27:03.000+08:00,"@Colosteve2000","Steven Martin","unknown",no,"unknown","Unknown",positive,8.689,"no_tf_content",no,4.21,no,no,1,,1,"https://x.com/Colosteve2000/status/2076644572935975382","Intel Stock Report - July 13, 2026 - Pre-Market Intel enters Monday with one improving asset and one improving opportunity: Altera and advanced packaging.  Price Action  Last regular session: Friday, July 10 Close: $109.84, down $2.70 or 2.40% Open: $109.58 | High: $110.85 | Low:"
2026-07-13T20:24:30.000+08:00,"@CarlosB2Edu","CarlosInvest Edu","51",no,"unknown","Unknown",negative,-3.412,"no_tf_content",no,4.19,no,no,,,,"https://x.com/CarlosB2Edu/status/2076643931421368651","The whole recovery hinges on external factors nobody controls. That's not stability, that's hope."
2026-07-13T20:06:30.000+08:00,"@DrNHJ","루팡","9,842",no,"unknown","South Korea",positive,1.531,"credited",yes,4.94,no,no,25,8,1,"https://x.com/DrNHJ/status/2076639405062971563","$SNDK, $MU, Kioxia, $SKHY, SK hynix, Samsung  TrendForce: SLC NAND prices expected to rise 120-170% in the second half of 2026 due to increased niche demand and MLC transition effects  Price Surge Outlook: Contract prices for SLC NAND in the second half of 2026 are projected to"
2026-07-13T19:46:10.000+08:00,"@QQ_Timmy","駿HaYaO","28.6K",yes,"amplifier","Asia",neutral,0,"credited",yes,1.93,no,no,79,,1,"https://x.com/QQ_Timmy/status/2076634285201870991","TrendForce: 利基需求升溫加乘MLC轉單效應，預估2H26 SLC NAND價格將上漲120-170%  根據TrendForce最新報告，由於高層數3D NAND等高附加價值產品大幅排擠成熟製程產能，導致MLC"
2026-07-13T19:12:25.000+08:00,"@TheBigBerbowski","TheBigBerbowski","13.7K",no,"unknown","Unknown",positive,0.516,"no_tf_content",no,4.36,no,no,21,2,1,"https://x.com/TheBigBerbowski/status/2076625794487431635","TSMC expects 2026 capital spending to land at the high end of its US$52 billion–$56 billion range, analysts expect faster 2nm and 3nm expansion to push capex higher, with forecasts reaching between $58 billion and  $60 billion.  The aggressive spending plan is expected to fuel"
2026-07-13T17:37:40.000+08:00,"@MuroMasa540912","NAND型フラッシュメモリ","120",no,"unknown","Unknown",neutral,0,"credited",yes,1.61,no,no,,,,"https://x.com/MuroMasa540912/status/2076601947419996518","TrendForce News TSMC、IC設計者に対し、2027年1月より成熟ノード価格の値上げを通知か。一桁台の値上げが見込まれる"
