timestamp,views,likes,retweets,replies,hasImages,keywords,tweetUrl,text,translated_text
2026-06-30T11:00:00.000Z,1586,16,2,1,yes,#富喬; #全新; #科技; #供應鏈; #半導體; wafer; wafer 價格適度調漲; glass 玻纖布最高猛漲; 證實上游成本暴增已避無可避 電子零組件轉嫁潮正式啟動; glass,https://x.com/technews_tw/status/2071911626995859828,電子原物料通膨正強力席捲科技業供應鏈！ #富喬 ($1815.TW) 與 #全新  ($2455.TW) 接連發出漲價通知，證實上游成本暴增已避無可避，電子零組件轉嫁潮正式啟動。  實際衝擊：  富喬：E-glass 玻纖布最高猛漲 30%  全新：磊晶圓（Epi Wafer）價格適度調漲  #科技 #供應鏈 #半導體,電子原物料通膨正強力席捲科技業供應鏈！ #富喬 ($1815.TW) 與 #全新  ($2455.TW) 接連發出漲價通知，證實上游成本暴增已避無可避，電子零組件轉嫁潮正式啟動。  實際衝擊：  富喬：E-glass 玻纖布最高猛漲 30%  全新：磊晶圓（Epi Wafer）價格適度調漲  #科技 #供應鏈 #半導體
2026-06-30T10:01:54.000Z,1573,19,3,2,yes,#tsmc; #samsung; #intel; tsmc; samsung; intel; 台積電已將 奈米廠區改規劃以擴充; 億美元 tsmc; 888 在先進製程方面,https://x.com/technews_tw/status/2071897003286786431,"大摩調高台積電目標價至新台幣 2,888 元。在先進製程方面，大摩強調台積電在 2 奈米仍是唯一贏家。產業調查顯示 2 奈米需求強勁，台積電已將 3 奈米廠區改規劃以擴充 2 奈米產能，需求較一年前多出每月 6 萬片，並預估其 2027、2028 年資本支出各達 750 億美元。 $TSMC #TSMC #Samsung #Intel","大摩調高台積電目標價至新台幣 2,888 元。在先進製程方面，大摩強調台積電在 2 奈米仍是唯一贏家。產業調查顯示 2 奈米需求強勁，台積電已將 3 奈米廠區改規劃以擴充 2 奈米產能，需求較一年前多出每月 6 萬片，並預估其 2027、2028 年資本支出各達 750 億美元。 $TSMC #TSMC #Samsung #Intel"
2026-06-30T05:51:40.000Z,612,4,1,,yes,#fulltech; #vpec; #tech; #supplychain; wafer; supply chain; vpec wafer; material inflation; tech supplychain; tw confirm,https://x.com/technews_tw/status/2071834031306822112,Electronic raw material inflation hits the tech supply chain! Price hikes from #Fulltech ( $1815.TW ) & #VPEC ( $2455.TW ) confirm rising costs force adjustments.   The Impact:  Fulltech: E-glass up to +30%  VPEC: Wafer price adjustments  #Tech #SupplyChain,Electronic raw material inflation hits the tech supply chain! Price hikes from #Fulltech ( $1815.TW ) & #VPEC ( $2455.TW ) confirm rising costs force adjustments.   The Impact:  Fulltech: E-glass up to +30%  VPEC: Wafer price adjustments  #Tech #SupplyChain
2026-06-30T03:06:58.000Z,1435,20,1,,yes,#tsmc; #samsung; #intel; tsmc; samsung; intel; edge prices; tsmc owns; 2nm; raises pt,https://x.com/technews_tw/status/2071792581890162815,"TSMC owns the leading edge.  Morgan Stanley reiterates Overweight, raises PT to NT$2,888. → Still the only game in town at 2nm → 2nm+3nm capacity ~10x Intel/Samsung by 2028 → Leading-edge prices could rise 5–10% in 2027  $TSMC #TSMC #Samsung #Intel","TSMC owns the leading edge.  Morgan Stanley reiterates Overweight, raises PT to NT$2,888. → Still the only game in town at 2nm → 2nm+3nm capacity ~10x Intel/Samsung by 2028 → Leading-edge prices could rise 5–10% in 2027  $TSMC #TSMC #Samsung #Intel"
2026-06-25T07:55:00.000Z,695,6,,,yes,#ai; #tech; dram; hbm; micron; trendforce; memory; micron mu; surge just; projected agentic,https://x.com/technews_tw/status/2070053128335237120," Micron's (  $MU  ) surge is just a teaser. TrendForce previously projected Agentic AI to spark a mega-cycle, pushing memory to a $1.28T market by 2027!   The Shift:  Agentic AI loops spike DRAM demand  HBM capacity squeeze locks in supplier pricing power.  #AI #Tech"," Micron's (  $MU  ) surge is just a teaser. TrendForce previously projected Agentic AI to spark a mega-cycle, pushing memory to a $1.28T market by 2027!   The Shift:  Agentic AI loops spike DRAM demand  HBM capacity squeeze locks in supplier pricing power.  #AI #Tech"
2026-06-25T06:49:47.000Z,470,5,,2,yes,#ai; #micron; #tech; hbm; hbm4; ddr5; lpddr; lpddr5; ssd; micron; storage; micron mu; recent dip; gen6 ssd,https://x.com/technews_tw/status/2070036718691205396," Micron ($MU) rebounds from its recent dip, posting a record Q3 rev of $41.5B (84.9% margin) for a 15% AH jump.   The driver? Diversified AI growth:   HBM4 (Compute)   Gen6 SSD (Storage)   LPDDR5X (Edge)  Strong Q4 outlook sets guidance at $50B!   #AI #Micron #Tech"," Micron ($MU) rebounds from its recent dip, posting a record Q3 rev of $41.5B (84.9% margin) for a 15% AH jump.   The driver? Diversified AI growth:   HBM4 (Compute)   Gen6 SSD (Storage)   LPDDR5X (Edge)  Strong Q4 outlook sets guidance at $50B!   #AI #Micron #Tech"
2026-06-23T04:12:22.000Z,1049,6,,3,yes,nand; dram; hbm; ssd; western digital; memory; storage; tiered memory; storage challenges; nand ssd; tco answer,https://x.com/technews_tw/status/2069272324696842390,Western Digital just named the 2 biggest storage challenges of the AI era   Scaling capacity to keep up with exponential data growth   Controlling total cost of ownership (TCO) The answer? A tiered memory stack: SRAM → HBM → DRAM → NAND/SSD. ,Western Digital just named the 2 biggest storage challenges of the AI era   Scaling capacity to keep up with exponential data growth   Controlling total cost of ownership (TCO) The answer? A tiered memory stack: SRAM → HBM → DRAM → NAND/SSD. 
2026-06-23T05:24:01.000Z,572,1,,,no,#ai; #hbm; #datacenter; #memory; #ssd; nand; dram; hbm; ssd; samsung; sk hynix; hynix; micron; datacenter; memory; supply chain; dram hbm; datacenter memory; blueprint sits; ai infrastructure,https://x.com/technews_tw/status/2069290358169817222,"4/ Behind the blueprint sits a massive supply chain — DRAM/HBM, NAND, HDD, controllers, modules & test. From Micron, SK hynix & Samsung to Taiwan's Nanya, Phison, ADATA & Powertech. This is the memory backbone of AI infrastructure.  $WDC   $MU  #AI #HBM #DataCenter #Memory #SSD","4/ Behind the blueprint sits a massive supply chain — DRAM/HBM, NAND, HDD, controllers, modules & test. From Micron, SK hynix & Samsung to Taiwan's Nanya, Phison, ADATA & Powertech. This is the memory backbone of AI infrastructure.  $WDC   $MU  #AI #HBM #DataCenter #Memory #SSD"
2026-06-23T05:23:40.000Z,495,2,,,no,nand; dram; hbm; ssd; chip; tiered playbook; sram chip; ssd external,https://x.com/technews_tw/status/2069290268717920280,"3/ The tiered playbook, each layer doing one job well:  SRAM — on-chip, fastest  HBM — in-package  DRAM — on-board  NAND / SSD — external, highest capacity  Speed, capacity & cost, balanced across the stack.","3/ The tiered playbook, each layer doing one job well:  SRAM — on-chip, fastest  HBM — in-package  DRAM — on-board  NAND / SSD — external, highest capacity  Speed, capacity & cost, balanced across the stack."
2026-06-23T05:23:23.000Z,148,1,,,no,western digital; edge ai; memory; storage; memory storage; data exploding,https://x.com/technews_tw/status/2069290199071465663,"2/ As generative, agentic & edge AI go mainstream, global data is exploding. Memory & storage are no longer passive infrastructure — they now decide both AI performance and cost. — Stefan Mandl, VP of Global Marketing & Sales, Western Digital","2/ As generative, agentic & edge AI go mainstream, global data is exploding. Memory & storage are no longer passive infrastructure — they now decide both AI performance and cost. — Stefan Mandl, VP of Global Marketing & Sales, Western Digital"
