timestamp,views,likes,retweets,replies,hasImages,keywords,tweetUrl,text,translated_text
2026-07-21T05:46:15.000+08:00,333,2,,1,yes,"projects china; just deepseek; quoted iflytek; http ai","https://x.com/tphuang/status/2079322016876806359","I don't know which project this one is referring to, but  http:// Z.ai has projects around China just as DeepSeek is also getting into it. This one I quoted is w/ iFlyTek was awarded on 3/25. Keep in mind that things cost less in China, so it likely has numerous such","I don't know which project this one is referring to, but  http:// Z.ai has projects around China just as DeepSeek is also getting into it. This one I quoted is w/ iFlyTek was awarded on 3/25. Keep in mind that things cost less in China, so it likely has numerous such"
2026-07-21T05:08:39.000+08:00,1162,8,3,1,yes,"yagen hydro; battery ess; sdic catl; station total","https://x.com/tphuang/status/2079312552853426182","SDIC & CATL signed JV to invest in Yagen-2 hydro station w/ total 33.39B RMB. This is the 3rd level hydro station in a set of 7 level stations, 2.4GW capacity & 8.645 TWh electricity/yr.  This project expects to fully enter usage in 2036. Battery/ESS makers are now partnering","SDIC & CATL signed JV to invest in Yagen-2 hydro station w/ total 33.39B RMB. This is the 3rd level hydro station in a set of 7 level stations, 2.4GW capacity & 8.645 TWh electricity/yr.  This project expects to fully enter usage in 2036. Battery/ESS makers are now partnering"
2026-07-21T01:57:19.000+08:00,2204,24,5,2,yes,"fab; arena rankings; kimi k3; agent iirc; level fable; security prowess","https://x.com/tphuang/status/2079264404311335312","Kimi K3 continue to do well on arena rankings, especially relevant is the agent one, which iirc is super good measure in real world tasks (Sol, Sonnet-5 & Opus-4.8 level, behind only Fable).  More Real World report of its Cyber Security prowess. It's just really good at SWE stuff","Kimi K3 continue to do well on arena rankings, especially relevant is the agent one, which iirc is super good measure in real world tasks (Sol, Sonnet-5 & Opus-4.8 level, behind only Fable).  More Real World report of its Cyber Security prowess. It's just really good at SWE stuff"
2026-07-21T01:57:21.000+08:00,1079,4,2,2,yes,"arena qwen; k3 release; max preview; pt improvements","https://x.com/tphuang/status/2079264410678280380","For Qwen team, 3.8-Max-Preview is still doing check pt & improvements. Let's wait until full version. K3 release puts a lot of pressure on how good Qwen-3.8 needs to be.  Qwen team also released Audio-3.0-TTS, which now ranks 1st in speech Arena. Qwen is embodied AI monster.","For Qwen team, 3.8-Max-Preview is still doing check pt & improvements. Let's wait until full version. K3 release puts a lot of pressure on how good Qwen-3.8 needs to be.  Qwen team also released Audio-3.0-TTS, which now ranks 1st in speech Arena. Qwen is embodied AI monster."
2026-07-21T01:57:21.000+08:00,813,3,2,1,no,"k3 ban; rsi roadmap; chinese ai; data deficit","https://x.com/tphuang/status/2079264412590846234","Not sure what to make of news of possible K3 ban. I will just concentrate on what's available. Chinese AI labs have clearly hit RSI roadmap. For areas where they are behind in, it's likely due to data deficit which will get resolved w/ time & money, likely this yr.","Not sure what to make of news of possible K3 ban. I will just concentrate on what's available. Chinese AI labs have clearly hit RSI roadmap. For areas where they are behind in, it's likely due to data deficit which will get resolved w/ time & money, likely this yr."
2026-07-20T23:02:55.000+08:00,4458,70,14,6,yes,"biggest breakthroughs; miit announcing; 2026h1; bci product; 九章 qc","https://x.com/tphuang/status/2079220515646951609","MIIT announcing China's major announcement from 2026H1. Biggest breakthroughs: LM-10B recovery, BYD Blade 2.0 battery & flash charging buildout, new material including T1200-grade CF production line, 九章-4 QC breaking record, World's 1st BCI product being approved/launched, 10B","MIIT announcing China's major announcement from 2026H1. Biggest breakthroughs: LM-10B recovery, BYD Blade 2.0 battery & flash charging buildout, new material including T1200-grade CF production line, 九章-4 QC breaking record, World's 1st BCI product being approved/launched, 10B"
2026-07-20T23:02:56.000+08:00,1863,10,2,1,yes,"tech mfg; ic export; h1","https://x.com/tphuang/status/2079220518633312447","It also reported on major growth areas in H1: 177% YoY in smart computing capacity to 2185 EFLOPS IC export grew by 88.7% YoY 3D printing, Li Battery & industrial robot production by 48.5%, 39.3% & 28% YoY high tech mfg grew by 13.3% YoY Industrial growth 5.4% 5.66% gross margin","It also reported on major growth areas in H1: 177% YoY in smart computing capacity to 2185 EFLOPS IC export grew by 88.7% YoY 3D printing, Li Battery & industrial robot production by 48.5%, 39.3% & 28% YoY high tech mfg grew by 13.3% YoY Industrial growth 5.4% 5.66% gross margin"
2026-07-20T19:03:35.000+08:00,7607,98,8,9,yes,"node; ai accelerator; memory; k3 supernodes; running kimi; ai accelerators; 6tb memory; node v900","https://x.com/tphuang/status/2079160283528843474","Moonshot advises running Kimi K3 on SuperNodes of at least 64 AI accelerators. That's was everywhere in WAIC 2026.  Alibaba 64-node M890 SuperNode can run K3 comfortably @ FP16.  128-node V900 SuperNode would have 27.6TB memory. Perfect for 10T model. That's where we are going.","Moonshot advises running Kimi K3 on SuperNodes of at least 64 AI accelerators. That's was everywhere in WAIC 2026.  Alibaba 64-node M890 SuperNode can run K3 comfortably @ FP16.  128-node V900 SuperNode would have 27.6TB memory. Perfect for 10T model. That's where we are going."
2026-07-20T18:28:12.000+08:00,2831,41,6,3,yes,"qin max; byd flash; fastest box; today fcb","https://x.com/tphuang/status/2079151378895663283","BYD news from today: FCB Tai-7 delivery has reached 200k - fastest box type SUV to do so Qin Max EV has now been announced by Dynasty series head, indicating it is going to be on sale soon. Sinopec showing 1st BYD Flash Charging station installed in small Anhui town. Its wide","BYD news from today: FCB Tai-7 delivery has reached 200k - fastest box type SUV to do so Qin Max EV has now been announced by Dynasty series head, indicating it is going to be on sale soon. Sinopec showing 1st BYD Flash Charging station installed in small Anhui town. Its wide"
2026-07-20T07:37:29.000+08:00,4846,69,12,3,yes,"chip; gpu; cpu; matepad pro; satcom support; compared t92; 5g modem; max using","https://x.com/tphuang/status/2078987623784149347","HW's new Pad MatePad Pro Max will be using T93 SoC (K9030 Pro w/o 5G modem), but has NearLink & satcom support.  Compared to T92, this one has 25% improved CPU, 40% improved GPU & 70% improved NPU.  HW/SMIC advanced chip production is very comfortable now.","HW's new Pad MatePad Pro Max will be using T93 SoC (K9030 Pro w/o 5G modem), but has NearLink & satcom support.  Compared to T92, this one has 25% improved CPU, 40% improved GPU & 70% improved NPU.  HW/SMIC advanced chip production is very comfortable now."
